thread,size=4,size=8,size=1024,size=4096
1,3.799435,4.484953,11.563806,44.326728
4,1.297578,1.41296,3.29799,11.500185
8,1.984662,1.803846,2.379168,6.044846
12,1.552322,2.18587,3.217713,4.410312
16,2.174782,2.264987,3.151431,3.411139
20,2.269634,1.73385,3.098688,3.039295
24,2.085376,2.33452,3.303626,2.670423
28,2.083749,1.787307,3.120926,2.675169
32,1.596147,2.025481,3.360771,2.754515
36,2.771474,3.004803,4.171432, 2.845683
40,3.236789,3.356208,4.082116,3.141884
44,3.637762,3.864592,4.775886,3.456872
48,3.28455,3.980187,5.312722,4.190835
52,3.84729,4.120566,5.08806,4.615338
56,3.932978,4.019572,5.382117,4.275522
60,3.758496,3.764344,5.211086,4.675587

